system   D            wsystem.c:583  maybe_parent_dir                 [   0.00060] Also searching C:\Users\Andrew\Desktop\AI Svn\andrew auclair\steering_week2\
system   D            wsystem.c:630  _al_win_safe_load_library        [   0.00087] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00090] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01049] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:879  _al_d3d_init_display             [   0.02243] Render-to-texture: 1
system   I             system.c:270  al_install_system                [   0.02252] Allegro version: 5.0.5
d3d      I         d3d_disp.cpp:1919 d3d_create_display_locked        [   0.02363] faux_fullscreen=0
display  D   display_settings.c:486  _al_score_display_settings       [   0.02511] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02515] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02516] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02517] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.02519] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02520] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02521] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02523] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02524] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02525] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02527] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02528] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02530] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02531] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02532] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02534] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02535] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02536] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02538] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02539] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02540] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02542] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02543] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02545] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02547] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02548] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02549] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02551] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.02552] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02553] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.02555] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.02556] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.02557] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.02563] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.02565] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.02566] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.02568] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02569] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02572] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02573] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02575] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02576] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02578] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02579] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02580] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02591] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02597] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02598] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02600] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02608] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02616] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02617] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.02619] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.02620] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02621] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02623] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02624] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02625] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.02627] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02628] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02629] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02631] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02632] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.02633] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.02635] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.02636] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.02637] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.02639] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.02640] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.02641] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.02642] Score is : 589
