system   D            wsystem.c:583  maybe_parent_dir                 [   0.00069] Also searching C:\Users\student\Desktop\AI\Playground\Storm\Assignment_02CollisonFix\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00085] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00088] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00297] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01447] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01451] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01502] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01503] al_display=00542818
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01504] al_display->vt=00542750
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01584] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.01586] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01587] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01588] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01589] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01590] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01591] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01592] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01593] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01594] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01596] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01596] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01598] Score is : 715
