system   D            wsystem.c:583  maybe_parent_dir                 [   0.00051] Also searching C:\Users\Jack\Development\EGPAI\Playground\Storm\Diablo2\editor\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00069] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00071] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00342] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.13237] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.13240] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.13358] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.13360] al_display=00556E40
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.13361] al_display->vt=00556D78
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13638] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.13640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13641] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13641] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13642] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13643] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13644] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13645] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13646] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13646] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13647] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13649] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13649] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13650] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13651] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13652] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13653] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13654] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13654] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13655] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13656] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13657] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13657] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13662] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13663] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13664] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13666] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13666] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13667] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13668] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13669] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13669] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13670] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13671] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13672] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13672] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13673] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13675] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13676] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13677] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13677] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13678] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13680] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13680] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13681] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13682] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13683] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13683] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13684] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.13685] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13686] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.13687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13688] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.13689] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.13690] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13691] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.13691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13692] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.13693] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13694] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.13695] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13695] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.13696] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13697] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.13698] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.13699] Score is : 713
