system   D            wsystem.c:583  maybe_parent_dir                 [   0.00154] Also searching C:\Users\student\Desktop\AI\Playground\Storm\Exercise 1\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00193] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00199] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00843] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.03741] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.03746] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.03814] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.03816] al_display=005627C0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.03817] al_display->vt=005626F8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.03910] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.03913] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03915] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03917] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.03919] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.03920] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.03922] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.03923] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.03925] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.03926] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
