system   D            wsystem.c:583  maybe_parent_dir                 [   0.00061] Also searching C:\Users\student\Desktop\AI2_0\Playground\Storm\Pathfinding\game\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00075] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00077] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00298] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.01484] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.01488] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.01540] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.01541] al_display=006E27A0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.01542] al_display->vt=006E26D8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01627] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.01629] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01630] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01631] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01633] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01634] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01635] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01636] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01637] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01638] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01639] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01640] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01642] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01643] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01644] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01645] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01646] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01647] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01648] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01649] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01650] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01651] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01653] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01654] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01657] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01659] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01660] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01661] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01662] Score is : 717
display  D   display_settings.c:191  debug_display_settings           [   0.01663] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01664] Score is : 715
display  D   display_settings.c:191  debug_display_settings           [   0.01665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01667] Score is : 714
display  D   display_settings.c:191  debug_display_settings           [   0.01668] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01669] Score is : 713
display  D   display_settings.c:191  debug_display_settings           [   0.01670] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01671] Score is : 712
display  D   display_settings.c:191  debug_display_settings           [   0.01672] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01673] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.01675] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.01676] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01678] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.01679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01680] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.01681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.01682] Score is : 717
